date,monto,boletin,descripcion
13-Apr-93,2000000000,1993041301N.pdf,Artículo l 6 — Amplíase en la s u m a de hasta DOS MIL MILLONES DE DOLARES E S T A D O U N I D E N S E S valor n o m i n a l (U$S 2.000.000.000 v/n) la emisión de títulos al portador denominados "BONOS EXTERNOS 1992" dispuesta por el Decreto Na 1587 del 31 de agosto de 1992 cuyas disposiciones rigen para la presente ampliación.
30-Jul-93,600000000,1993073001N.pdf,Bs. As. 26/7/93 VISTO el Decreto N9 1731 del 18 de setiembre de 1992 por el que se dispuso la emisión de títulos en Dólares Estadounidenses denominados "BONOS DEL TESORO — Segunda Serie" por un monto de hasta SEISCIENTOS MILLONES DE DOLARES ESTADOUNIDENSES VALOR NOMINAL (U$S 600.000.000.- V/N) y CONSIDERANDO:
30-Jul-93,600000000,1993073001N.pdf,Articulo l9 — Amplíase en la suma de hasta SEISCIENTOS MILLONES DE DOLARES ESTADOUNIDENSES VALOR NOMINAL (U$S 600.000.000.- V/N) la emisión de los títulos en Dólares Estadounidenses denominados "BONOS DEL TESORO — Segunda Serie" dispuesta por el Decreto Ns 1731 del 18 de setiembre de 1992.
19-Sep-97,2000000000,1997091901N.pdf,Que el artículo 1º de la Resolución de la SECRETARIA DE HACIENDA Nº 198/97 dispuso la emisión de Bonos del Tesoro a Mediano Plazo en dólares Estadounidenses denominados “BONTES” con el aditamento de la tasa de interés y la fecha de vencimiento por un monto de hasta VALOR NOMINAL DOLARES ESTADOUNIDENSES DOS MIL MILLONES (VN U$S 2.000.000.000).
16-Jan-98,614200000,1998011601N.pdf,Artículo 1º — Dispónese la emisión de LETRAS DEL TESORO EN PESOS y en DOLARES ESTADOUNIDENSES con vencimientos 12 de Enero de 1998 por un importe de PESOS VALOR NOMINAL DOSCIENTOS OCHENTA Y CINCO MILLONES OCHOCIENTOS MIL ($VN 285.800.000.-) y por un importe de DOLARES ESTADOUNIDENSES VALOR NOMINAL SEISCIENTOS CATORCE MILLONES DOSCIENTOS MIL (U$SVN 614.200.000) respectivamente.
16-Jan-98,300000000,1998011601N.pdf,Artículo 1º — Dispónese la emisión de LETRAS DEL TESORO EN DOLARES ESTADOUNIDENSES con vencimientos 17 de Abril y 17 de Julio de 1998 por un importe de DOLARES ESTADOUNIDENSES VALOR NOMINAL TRESCIENTOS MILLONES (U$SVN 300.000.000) respectivamente.
16-Jan-98,614200000,1998011601N.pdf,Artículo 1º — Dispónese la emisión de LETRAS DEL TESORO EN PESOS y en DOLARES ESTADOUNIDENSES con vencimiento 14 de Enero de 1998 por un importe de PESOS VALOR NOMINAL DOSCIENTOS OCHENTA Y CINCO MILLONES OCHOCIENTOS MIL ($VN 285.800.000.-) y por un importe de DOLARES ESTADOUNIDENSES VALOR NOMINAL SEISCIENTOS CATORCE MILLONES DOSCIENTOS MIL (U$SVN 614.200.000) respectivamente.
11-Feb-98,550000000,1998021101N.pdf,Artículo 1º — Dispónese la emisión de LETRAS DEL TESORO EN DOLARES ESTADOUNIDENSES con vencimientos 15 de Mayo y 14 de Agosto de 1998 por un importe de DOLARES ESTADOUNIDENSES VALOR NOMINAL TRESCIENTOS MILLONES (U$S VN 300.000.000) y DOLARES ESTADOUNIDENSES VALOR NOMINAL QUINIENTOS CINCUENTA MILLONES (U$S VN 550.000.000) respectivamente.
31-Mar-98,550000000,1998033101N.pdf,Artículo 1º — Dispónese la emisión de LETRAS DEL TESORO EN PESOS Y EN DOLARES ESTADOUNIDENSES con vencimientos 19 de junio de 1998 y 19 de marzo de 1999 por un importe de PESOS VALOR NOMINAL TRESCIENTOS MILLONES ($VN 300.000.000) y DOLARES ESTADOUNIDENSES VALOR NOMINAL QUINIENTOS CINCUENTA MILLONES (U$SVN 550.000.000) respectivamente.
14-Apr-98,9750000000,1998041401N.pdf,Que de los montos autorizados por los Decretos antes mencionados se han utilizado en las emisiones de BONOS EXTERNOS GLOBALES entre otros instrumentos de la deuda pública un VALOR NOMINAL DE DOLARES ESTADOUNIDENSES NUEVE MIL SETECIENTOS CINCUENTA MILLONES (V.N. U$S 9.750.000.000 -) dejando como monto que puede ser utilizado en futuras emisiones en el mercado registrado estadounidense un VALOR NOMINAL DE DOLARES ESTADOUNIDENSES DOS MIL DOSCIENTOS CINCUENTA MILLONES (V.N.
